Tweet,Time,Location,RT
RT  Ercardinal     Une agora virtuelle a t cre pour sortir la jeunesse autochtone de son isolement forc  ,Thu Mar 26 18 34 20  0000 2020,Montreal (Quebec),2
RT  RepMattGaetz   13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,Thu Mar 26 18 34 05  0000 2020,,8268
RT  NHenryFundi  Lesson plan I developed  Slavery and its Gradual Abolition in Upper Canada  to explore the history of slavery in Canada   ,Thu Mar 26 18 33 45  0000 2020,"Hamilton, Ontario",40
RT  mixxed chick00  If you are attending a Community College rn or a 4 year University I feel like we all getting the same quality of educa,Thu Mar 26 18 33 31  0000 2020,,10
Apart from high standard medical education  Avalon University takes care of students loans as well   Visit Now  ,Thu Mar 26 18 32 55  0000 2020,Curacao,0
Vacation have been confirmed upto 31 May  So every university should start semester after holidays  A lot of studen  ,Thu Mar 26 18 32 55  0000 2020,"Punjab, Pakistan",0
 dawidtatarczyk I haven t yet read  but expect to be very good  Baker and  jeff bilbro s Wendell Berry and Higher E  ,Thu Mar 26 18 32 54  0000 2020,United States,8268
RT  ucu   The Vice Chancellor can t ignore his own survey data  though  He needs to work much more closely with UCU on real action to resto,Thu Mar 26 18 32 51  0000 2020,Mount St. Mary's University,0
Only essential services to be available   Schools  colleges  University  all type of education is missing from th  ,Thu Mar 26 18 32 42  0000 2020,,27
RT  joececiyyc  Despite the outcry  the UCP is determined to make  gt 1 000 people unemployed at UofA During   With tens of thousan,Thu Mar 26 18 32 34  0000 2020,,0
RT  abdulqadeer03  Education is not just about going to University and getting a degree  It is about widening our knowledge and learning sk,Thu Mar 26 18 32 29  0000 2020,,8268
RT  AliIrfa31027750  Online classes are just to cover the courses at university s end  In technical degrees where healthy questioning for u,Thu Mar 26 18 32 08  0000 2020,northwest lower MI ,8268
The  uniofeastanglia has cancelled its graduation ceremonies this summer due to the coronavirus outbreak    ,Thu Mar 26 18 31 38  0000 2020,,19
RT  NavajoTweets  15 ASU students have tested positive for COVID 19  university says  ,Thu Mar 26 18 31 32  0000 2020,,127
RT  CBCIndigenous   Language is key in all of our teachings  land based learning must include language component  educator says  ,Thu Mar 26 18 31 04  0000 2020,FAST NU LAHORE,23
Free Education University   How to find scholarships and grants specifically tailored to your personality type  hob  ,Thu Mar 26 18 30 39  0000 2020,Norfolk,0
RT  ieeducation job  Delhi University has made its e resources available to students  teachers and researchers in the online mode   ,Thu Mar 26 18 30 36  0000 2020,"Beverly Hills, CA",4
