Tweet_id,match_word,match_word_count,word_polarity
2,struggling,1,negative
4,like,1,positive
5,well,1,positive
7,good,1,positive
8,work,1,positive
8,ignore,1,negative
8,vice,1,negative
9,available,1,positive
10,outcry,1,negative
10,unemployed,1,negative
12,healthy,1,positive
13,outbreak,1,negative
14,positive,1,positive
16,free,1,positive
17,available,1,positive
19,isolation,1,negative
20,deprived,1,negative
21,available,1,positive
22,dedicated,1,positive
24,awarded,1,positive
27,well,1,positive
31,outbreak,1,negative
32,safe,1,positive
32,smoke,1,negative
35,work,1,positive
37,conservative,1,negative
39,like,1,positive
45,free,2,positive
46,available,1,positive
47,top,1,positive
48,free,2,positive
48,good,1,positive
50,healthy,1,positive
53,improving,1,positive
54,ashamed,1,negative
55,disagree,1,negative
55,fault,1,negative
57,miss,1,negative
58,powerful,1,positive
58,spoiled,1,negative
62,break,1,negative
62,loss,1,negative
64,break,1,negative
64,rejected,1,negative
66,free,1,positive
67,thank,1,positive
68,available,1,positive
69,outbreak,1,negative
70,miss,1,negative
72,positive,1,positive
73,support,1,positive
74,hell,1,negative
74,stupid,1,negative
77,isolation,1,negative
78,like,1,positive
78,hysteria,1,negative
81,better,1,positive
82,free,1,positive
84,liberty,1,positive
84,outbreak,1,negative
86,free,1,positive
87,unfortunately,1,negative
88,support,1,positive
89,issues,1,negative
91,good,1,positive
94,strong,1,positive
94,supporter,1,positive
95,confidence,1,positive
95,trust,1,positive
95,collapse,1,negative
95,scary,1,negative
96,top,1,positive
96,trustworthy,1,positive
96,dilemma,1,negative
97,cool,1,positive
98,saint,1,positive
98,support,1,positive
100,powerful,1,positive
101,poised,1,positive
102,best,1,positive
105,free,1,positive
107,fails,1,negative
109,concerns,1,negative
110,work,1,positive
111,commitment,1,positive
111,excited,1,positive
112,cool,1,positive
114,incredibly,1,positive
114,wholeheartedly,1,positive
117,complicated,1,negative
118,free,1,positive
118,promised,1,positive
118,stolen,1,negative
121,inequities,1,negative
122,disrupt,1,negative
122,fail,1,negative
124,like,1,positive
125,issue,2,negative
128,protect,1,positive
130,like,1,positive
130,work,1,positive
135,master,1,positive
137,great,1,positive
141,support,1,positive
141,fucking,1,negative
142,available,1,positive
144,protect,1,positive
145,tops,1,positive
147,powerful,1,positive
149,available,1,positive
149,miss,1,negative
153,prison,1,negative
154,encourage,1,positive
154,support,1,positive
156,thank,1,positive
157,awarded,1,positive
157,mad,1,negative
159,swipe,1,negative
160,favour,1,positive
161,excited,1,positive
166,perfect,1,positive
168,best,1,positive
169,poised,1,positive
169,scramble,1,negative
